Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Asymblepharus sikimmensis,Asymblepharus_sikimmensis,Oviparous,5,0.40,-1.00,20%,15.83,4812.8
Ateuchosaurus chinensis,Ateuchosaurus_chinensis,Oviparous,2.3,1.02,-0.64,5%,18.93,6041
Atlantolacerta andreanskyi,Atlantolacerta_andreanskyi,Oviparous,1.85,0.36,-0.57,22%,11.85,6264
Atractus gigas,Atractus_gigas,Oviparous,12,2.19,0.17,11%,14.19579,32.4599
Atractus latifrons,Atractus_latifrons,Oviparous,4.5,1.56,0.58,47%,23.85902,67.35762
Atractus torquatus,Atractus_torquatus,Oviparous,7.5,1.82,0.53,39%,24.73609,53.10266
Basiliscus basiliscus,Basiliscus_basiliscus,Oviparous,9.2,2.11,0.16,10%,24.28,389.4
Basiliscus plumifrons,Basiliscus_plumifrons,Oviparous,11,2.05,0.11,13%,25.05,635.2
Basiliscus vittatus,Basiliscus_vittatus,Oviparous,5.4,1.69,0.07,13%,23.79,1480.3
Bassiana duperreyi,Bassiana_duperreyi,Oviparous,5.3,0.74,-0.57,26%,12.66,404.3845
Bassiana platynota,Bassiana_platynota,Oviparous,5.25,0.84,-0.56,21%,14.39,473.7808
Bassiana trilineata,Bassiana_trilineata,Oviparous,5.9,0.73,-0.58,30%,16.56,414.0399
Bipes biporus,Bipes_biporus,Oviparous,2.075,0.75,0.02,39%,21.11,3998.9
Bipes canaliculatus,Bipes_canaliculatus,Oviparous,2.8,0.93,-0.06,28%,25.15,1206.7
Bipes tridactylus,Bipes_tridactylus,Oviparous,2.2,0.34,-0.50,32%,27.9,735
Blanus cinereus,Blanus_cinereus,Oviparous,2,0.62,-0.29,25%,13.96,6133
Bogertophis rosaliae,Bogertophis_rosaliae,Oviparous,6.5,2.46,0.83,15%,22.96184,496.1394
Boiga irregularis,Boiga_irregularis,Oviparous,5.5,2.09,0.97,42%,23.93,225.4852
Brachylophus bulabula,Brachylophus_bulabula,Oviparous,3.5,2.63,1.40,20%,24.35,1137.2
Brachylophus fasciatus,Brachylophus_fasciatus,Oviparous,3.89,2.26,1.26,39%,25.1,1274
Brachylophus vitiensis,Brachylophus_vitiensis,Oviparous,4,2.57,1.32,22%,24.39,1200.7
Brachyurophis australis,Brachyurophis_australis,Oviparous,5.3,0.98,-0.07,47%,18.19,525.1531
Brachyurophis fasciolatus,Brachyurophis_fasciolatus,Oviparous,5,1.06,0.13,58%,20.43,592.8504
Brachyurophis roperi,Brachyurophis_roperi,Oviparous,3,1.01,0.24,51%,26.46,332.9916
Brachyurophis semifasciatus,Brachyurophis_semifasciatus,Oviparous,3.1,0.96,0.02,36%,21.9,498.5318
Bronchocela cristatella,Bronchocela_cristatella,Oviparous,2,1.41,0.14,11%,25.23,469.2
Brookesia stumpffi,Brookesia_stumpffi,Oviparous,3.5,0.58,-0.40,37%,24.93,1201.2
Cacophis harriettae,Cacophis_harriettae,Oviparous,5.1,1.31,0.39,60%,20.61,366.8216
Cacophis krefftii,Cacophis_krefftii,Oviparous,3.2,0.96,0.00,35%,18.74,339.159
Cacophis squamulosus,Cacophis_squamulosus,Oviparous,6.2,1.73,0.40,29%,18.46,376.7054
Caesoris novaecaledoniae,Lioscincus_novaecaledoniae,Oviparous,4,0.74,-0.36,32%,22.13,2056.9
Caledoniscincus austrocaledonicus,Caledoniscincus_austrocaledonicus,Oviparous,3,0.25,-0.73,31%,22.05,2056.3
Callisaurus draconoides,Callisaurus_draconoides,Oviparous,4.335,1.05,0.04,42%,17.13,6940.7
Calotes bachae,Calotes_bachae,Oviparous,4.5,1.32,-0.22,13%,25.52,1074
Calotes calotes,Calotes_calotes,Oviparous,12.5,1.30,0.03,66%,26.15,1348.4
Calotes emma,Calotes_emma,Oviparous,7.5,1.50,-0.01,23%,21.94,2899.3
Calotes liocephalus,Calotes_liocephalus,Oviparous,5.5,1.25,-0.29,16%,22.26,894.9
Calotes mystaceus,Calotes_mystaceus,Oviparous,7,1.56,-0.35,9%,23.68,2349.5
Calotes nemoricola,Calotes_nemoricola,Oviparous,13.7125,1.41,-0.33,25%,24.02,1238.9
Calotes nigrilabris,Calotes_nigrilabris,Oviparous,3.5,1.15,-0.10,19%,21.87,709
Calotes rouxii,Calotes_rouxii,Oviparous,4.15,0.94,-0.44,17%,25.36,208.1893
Calotes versicolor,Calotes_versicolor,Oviparous,13.65,1.32,-0.45,23%,23.28,3966.8
Calumma parsonii,Calumma_parsonii,Oviparous,38,2.01,-0.12,28%,20.6,2110.1
Calyptotis lepidorostrum,Calyptotis_lepidorostrum,Oviparous,3.2,0.33,-0.73,28%,20.89,3514.3
Calyptotis ruficauda,Calyptotis_ruficauda,Oviparous,3.3,0.32,-0.86,22%,16.8,3719.2
Calyptotis scutirostrum,Calyptotis_scutirostrum,Oviparous,3.45,0.30,-0.56,48%,19.92,3753
Carlia gracilis,Carlia_gracilis,Oviparous,1.9,-0.09,-1.07,20%,27.16,2268.4
Carphophis amoenus,Carphophis_amoenus,Oviparous,5.1,0.69,-0.15,74%,13.55,774.3635
Carphophis vermis,Carphophis_vermis,Oviparous,4.5,1.09,-0.10,29%,13.58,890.1048
Celatiscincus euryotis,Celatiscincus_euryotis,Oviparous,2.5,-0.05,-0.92,34%,22.45,2066.9
Cemophora coccinea,Cemophora_coccinea,Oviparous,5,1.17,-0.05,30%,16.69,704.6947
Ceratophora aspera,Ceratophora_aspera,Oviparous,1.928571429,0.07,-1.05,14%,25.17,563.9
Ceratophora tennentii,Ceratophora_tennentii,Oviparous,3.5,0.97,-0.49,12%,24.35,945.7
Cercosaura ocellata,Cercosaura_ocellata,Oviparous,2.43,0.49,-0.81,12%,24.51,983.4
Chamaeleo africanus,Chamaeleo_africanus,Oviparous,34,1.86,-0.10,37%,25.44,3184.8
Chamaeleo calyptratus,Chamaeleo_calyptratus,Oviparous,35,2.05,-0.25,18%,22.39,3078.6
Chamaeleo chamaeleon,Chamaeleo_chamaeleon,Oviparous,23.65,1.52,-0.15,50%,18.47,5962.5
Chamaeleo dilepis,Chamaeleo_dilepis,Oviparous,39.6,1.84,0.02,60%,22.37,1868
Chamaeleo laevigatus,Chamaeleo_laevigatus,Oviparous,37.5,1.44,-0.16,95%,24.29,1557.7
Chamaeleo monachus,Chamaeleo_monachus,Oviparous,42,1.79,-0.04,63%,25.86,1195
Chamaeleo namaquensis,Chamaeleo_namaquensis,Oviparous,13.2,1.58,-0.13,26%,18.35,3857.8
Chamaeleo senegalensis,Chamaeleo_senegalensis,Oviparous,52.2,1.59,-0.25,75%,26.12,1967.1
Chamaeleo zeylanicus,Chamaeleo_zeylanicus,Oviparous,29.875,1.94,-0.09,28%,25.94,3566.2
Chelosania brunnea,Chelosania_brunnea,Oviparous,5.5,1.42,0.15,29%,26.96,2669.9
Chilomeniscus stramineus,Chilomeniscus_stramineus,Oviparous,3,0.34,-0.42,53%,21.2,578.3278
Chironius exoletus,Chironius_exoletus,Oviparous,8,2.46,0.78,17%,23.90755,106.9771
Chlamydosaurus kingii,Chlamydosaurus_kingii,Oviparous,11.99,2.52,0.56,13%,24.61,3102.2
Clelia clelia,Clelia_clelia,Oviparous,19,2.98,1.22,33%,23.05248,138.9279
Cnemidophorus cryptus,Cnemidophorus_cryptus,Oviparous,1.495,0.83,-0.09,18%,25.92,717
Cnemidophorus gramivagus,Cnemidophorus_gramivagus,Oviparous,1.605,1.17,-0.05,10%,26.9,790.2
Cnemidophorus lemniscatus,Cnemidophorus_lemniscatus,Oviparous,1.865,0.84,-0.37,11%,24.86,642.6
Coeranoscincus reticulatus,Coeranoscincus_reticulatus,Oviparous,3.85,1.20,0.17,36%,18.97,3618.4
Coluber constrictor,Coluber_constrictor,Oviparous,13.6,2.13,0.51,32%,11.14,812.0604
Congolacerta vauereselli,Congolacerta_vauereselli,Oviparous,3,0.65,-0.18,44%,20.18,618.4
Coniophanes fissidens,Coniophanes_fissidens,Oviparous,4,1.09,0.13,44%,24.44,92.59216
Coniophanes imperialis,Coniophanes_imperialis,Oviparous,4,0.76,0.14,95%,24.61321,217.351
Conolophus pallidus,Conolophus_pallidus,Oviparous,10,3.20,1.65,28%,22.5,1648
Conolophus subcristatus,Conolophus_subcristatus,Oviparous,10.95,3.38,1.65,20%,22.87,1650
