Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Morethia storri,Morethia_storri,Oviparous,2.3,-0.10,-1.15,21%,27.23,2070.2
Morethia taeniopleura,Morethia_taeniopleura,Oviparous,2.35,0.01,-1.07,19%,22.07,3371.9
Morunasaurus annularis,Morunasaurus_annularis,Oviparous,4.5,1.53,0.76,76%,20.9,526.2
Natrix maura,"Kreiner_2007,_Schleich_et_al._1996_(clutch_size)",Oviparous,11.5,2.45,0.02,4%,15.92642,636.5857
Neelaps calonotus,Vermicella_calonotus,Oviparous,3.5,0.74,-0.04,58%,18.01,458.0731
Ninia sebae,Ninia_sebae,Oviparous,2.5,0.61,-0.20,38%,24.37131,136.6729
Notoscincus ornatus,Notoscincus_ornatus,Oviparous,2.8,-0.18,-1.00,43%,25.07,4502.1
Nucras intertexta,Nucras_intertexta,Oviparous,5,0.95,-0.27,30%,19.59,4174
Nucras lalandii,Nucras_lalandii,Oviparous,7,1.21,-0.55,12%,16.13,3586.6
Nucras tessellata,Nucras_tessellata,Oviparous,3.96,0.95,-0.10,35%,18.31,4196.2
Oligosoma lichenigera,Oligosoma_lichenigera,Oviparous,2.5,0.66,-0.36,24%,19.6,2197.5
Oligosoma suteri,Oligosoma_suteri,Oviparous,3.65,1.10,-0.10,23%,15.22,2623.5
Omanosaura cyanura,Omanosaura_cyanura,Oviparous,2.833333333,0.46,-0.30,50%,24.44,5315.7
Omanosaura jayakari,Omanosaura_jayakari,Oviparous,6,1.87,0.55,28%,24.79,5501.2
Opheodrys aestivus,Opheodrys_aestivus,Oviparous,5.9,1.11,0.31,93%,16.3,726.255
Ophiomorus punctatissimus,Ophiomorus_punctatissimus,Oviparous,3,0.23,-0.57,47%,14.92,6561.4
Ophisaurus attenuatus,Ophisaurus_attenuatus,Oviparous,9.735,1.63,-0.12,17%,15.86,7561.1
Ophisaurus compressus,Ophisaurus_compressus,Oviparous,11,1.20,-0.59,18%,20.97,4688.3
Ophisaurus ventralis,Ophisaurus_ventralis,Oviparous,11,1.55,-0.32,15%,18.55,5931.4
Ophisops elegans,Ophisops_elegans,Oviparous,3.57,0.38,-0.59,38%,13.8,8440.9
Ophisops jerdonii,Ophisops_jerdonii,Oviparous,4.5,0.18,-0.87,39%,24.35,4906.9
Ophisops leschenaultii,Ophisops_leschenaultii,Oviparous,6,0.62,-0.77,25%,26.14,2929.4
Ophisops occidentalis,Ophisops_occidentalis,Oviparous,3.5,0.34,-0.27,86%,16.64,6648.3
Oplurus cuvieri,Oplurus_cuvieri,Oviparous,3.5,1.88,0.07,5%,24.66,1614.9
Oplurus cyclurus,Oplurus_cyclurus,Oviparous,4,1.30,-0.13,15%,24.57,1928.3
Oplurus fierinensis,Oplurus_fierinensis,Oviparous,2.5,1.14,-0.68,4%,23.54,2295
Oplurus quadrimaculatus,Oplurus_quadrimaculatus,Oviparous,7,1.64,0.32,34%,21.61,2504.7
Otosaurus cumingi,Otosaurus_cumingi,Oviparous,2.1,1.60,0.04,6%,25.45,829.9
Oxybelis aeneus,Oxybelis_aeneus,Oviparous,4,1.68,0.98,81%,23.19,115.2661
Oxybelis fulgidus,Oxybelis_fulgidus,Oviparous,9,2.07,0.90,62%,24.44718,67.91312
Oxyrhopus guibei,Oxyrhopus_guibei,Oviparous,10.9,2.27,0.65,26%,22.97,178.2101
Oxyrhopus petolarius,Oxyrhopus_petolarius,Oviparous,7.5,2.39,0.68,15%,23.98329,111.626
Oxyuranus microlepidotus,Oxyuranus_microlepidotus,Oviparous,16.2,2.95,1.32,38%,21.29,623.2275
Oxyuranus scutellatus,Oxyuranus_scutellatus,Oviparous,11.4,2.96,1.19,19%,24.28,247.7171
Panaspis breviceps,Panaspis_breviceps,Oviparous,2.5,0.78,-0.31,20%,24.43,822.7
Panaspis maculicollis,Afroablepharus_maculicollis,Oviparous,3,-0.09,-1.15,26%,21.41,3066.9
Panaspis nimbaensis,Panaspis_nimbaensis,Oviparous,2.505,0.21,-1.07,13%,25.8,157.9496
Panaspis togoensis,Panaspis_togoensis,Oviparous,1.92,0.18,-0.76,22%,25.82,1655.2
Panaspis wahlbergi,Afroablepharus_wahlbergi,Oviparous,4.235,0.16,-1.27,16%,22.3,2026.2
Pantherophis emoryi,Pantherophis_emoryi,Oviparous,10,2.44,0.93,31%,15.57,738.5196
Pantherophis guttatus,Pantherophis_guttatus,Oviparous,12,2.25,0.73,36%,16.58,663.95
Pantherophis obsoletus,Pantherophis_obsoletus,Oviparous,15,2.53,0.94,39%,12.71,829.9555
Paralaudakia caucasia,Paralaudakia_caucasia,Oviparous,9.45,1.81,0.31,29%,11.41,8909
Paralaudakia erythrogaster,Paralaudakia_erythrogaster,Oviparous,12.5,1.89,0.45,46%,8.52,8631.3
Paralaudakia lehmanni,Paralaudakia_lehmanni,Oviparous,10,1.77,0.17,25%,7.14,8602.4
Paralaudakia stoliczkana,Paralaudakia_stoliczkana,Oviparous,7.5,1.84,0.81,70%,6.75,11957.3
Parvilacerta fraasii,Parvilacerta_fraasii,Oviparous,5.8,0.70,-0.56,32%,11.39,6432.2
Parvilacerta parva,Parvilacerta_parva,Oviparous,3,0.55,-0.44,31%,8.69,8083.2
Pedioplanis burchelli,Pedioplanis_burchelli,Oviparous,4.5,0.61,-0.52,33%,14.94,4431
Pedioplanis lineoocellata,Pedioplanis_lineoocellata,Oviparous,6.875,0.70,-0.77,23%,17.73,4644.6
Pedioplanis namaquensis,Pedioplanis_namaquensis,Oviparous,3.9,0.54,-0.58,29%,18.49,4524.5
Petrosaurus mearnsi,Petrosaurus_mearnsi,Oviparous,4,1.18,0.19,41%,17.16,5632.8
Petrosaurus thalassinus,Petrosaurus_thalassinus,Oviparous,8.6,1.43,0.16,45%,20.99,4402.1
Philodryas patagoniensis,Philodryas_patagoniensis,Oviparous,11,2.38,0.61,19%,21.57477,266.7164
Phoenicolacerta kulzeri,Phoenicolacerta_kulzeri,Oviparous,5.5,0.58,-0.27,78%,15.19,6482.5
Phoenicolacerta laevis,Phoenicolacerta_laevis,Oviparous,5.3,0.76,-0.43,34%,15.52,6927.8
Phoenicolacerta troodica,Phoenicolacerta_troodica,Oviparous,5,0.71,-0.39,39%,18.18,5540.1
Pholidoscelis exsul,Ameiva_exsul,Oviparous,2.68,1.39,0.07,13%,24.91,1097.9
Pholidoscelis fuscatus,Ameiva_fuscata,Oviparous,4,1.69,0.56,30%,23.96,913.7
Pholidoscelis plei,Ameiva_plei,Oviparous,2.6,1.27,0.17,20%,26.95,1143.7
Phrynocephalus axillaris,Phrynocephalus_axillaris,Oviparous,2.6,0.59,-0.27,36%,7.61,11548.7
Phrynocephalus golubewii,Phrynocephalus_golubewii,Oviparous,2.5,0.72,-0.03,44%,16.5,10142
Phrynocephalus guttatus,Phrynocephalus_guttatus,Oviparous,3.23,0.58,-0.37,36%,6.52,12374.1
Phrynocephalus helioscopus,Phrynocephalus_helioscopus,Oviparous,4.5,0.54,-0.38,54%,5.42,11810.7
Phrynocephalus luteoguttatus,Phrynocephalus_luteoguttatus,Oviparous,3,0.31,-0.40,59%,20.61,8767.3
Phrynocephalus mystaceus,Phrynocephalus_mystaceus,Oviparous,5,1.16,0.15,49%,10.57,11417.7
Phrynocephalus persicus,Phrynocephalus_persicus,Oviparous,4.5,0.46,-0.46,54%,11.82,9043.9
Phrynocephalus przewalskii,Phrynocephalus_przewalskii,Oviparous,2.85,0.79,-0.26,25%,2.84,11357.6
Phrynocephalus raddei,Phrynocephalus_raddei,Oviparous,4,0.58,-0.32,51%,15.28,9788.3
Phrynocephalus strauchi,Phrynocephalus_strauchi,Oviparous,3.5,0.42,-0.37,57%,12.12,8643.5
Phrynocephalus versicolor,Phrynocephalus_versicolor,Oviparous,3.301515152,0.73,-0.42,23%,3.02,12199
Phrynonax poecilonotus,Phrynonax_poecilonotus,Oviparous,10.5,2.47,1.08,43%,24.19146,68.89064
Phrynonax poecilonotus,Phrynonax_poecilonotus,Oviparous,10.5,2.47,1.08,43%,24.19146,68.89064
Phrynosoma asio,Phrynosoma_asio,Oviparous,16.9,1.52,0.26,94%,24.49,1163.2
Phrynosoma blainvillii,Phrynosoma_blainvillii,Oviparous,15.5,1.21,-0.02,90%,15.05,5547.8
Phrynosoma cornutum,Phrynosoma_cornutum,Oviparous,27.9,1.23,-0.32,79%,16.73,7042.5
Phrynosoma coronatum,Phrynosoma_coronatum,Oviparous,11.8,1.26,0.02,68%,16.98,5138.7
Phrynosoma mcallii,Phrynosoma_mcallii,Oviparous,4.95,1.07,0.24,75%,21.3,6750.3
Phrynosoma modestum,Phrynosoma_modestum,Oviparous,11,0.87,-0.43,55%,16.74,6386.2
Phrynosoma platyrhinos,Phrynosoma_platyrhinos,Oviparous,5.515,1.24,-0.07,27%,12.01,8344.7
Phrynosoma solare,Phrynosoma_solare,Oviparous,18.6,1.45,0.12,86%,20,5748.4
Phyllorhynchus decurtatus,Phyllorhynchus_decurtatus,Oviparous,3.6,0.98,0.12,49%,21.43359,683.9708
Physignathus cocincinus,Physignathus_cocincinus,Oviparous,10.36363636,2.13,0.34,17%,20.57,4177.3
Pinoyscincus jagori,Pinoyscincus_jagori,Oviparous,1.9,0.93,-0.31,11%,25.62,804.2
Pituophis catenifer,Pituophis_catenifer,Oviparous,8,2.59,0.99,20%,11.57,818.2749
Pituophis melanoleucus,Pituophis_melanoleucus,Oviparous,8.7,2.53,1.21,42%,16.8,651.782
Plestiodon anthracinus,Plestiodon_anthracinus,Oviparous,8.5,0.60,-0.76,37%,14.17,7826.2
Plestiodon chinensis,Plestiodon_chinensis,Oviparous,16.4,1.38,-0.45,24%,17.61,6613.3
Plestiodon egregius,Plestiodon_egregius,Oviparous,4.8,-0.12,-0.88,84%,19.59,5562.6
Plestiodon elegans,Plestiodon_elegans,Oviparous,5.95,0.93,-0.53,21%,15.61,6881.4
Plestiodon fasciatus,Plestiodon_fasciatus,Oviparous,7.7,0.76,-0.64,31%,13.15,7972.3
Plestiodon gilberti,Plestiodon_gilberti,Oviparous,6.3,1.01,-0.24,35%,14.23,6476.1
Plestiodon inexpectatus,Plestiodon_inexpectatus,Oviparous,7.5,0.85,-0.58,28%,16.74,6612.5
Plestiodon laticeps,Plestiodon_laticeps,Oviparous,11.58333333,1.28,-0.39,24%,15.32,7506.4
Plestiodon latiscutatus,Plestiodon_latiscutatus,Oviparous,7.95,0.94,-0.42,35%,13.56,7187.9
Plestiodon multivirgatus,Plestiodon_multivirgatus,Oviparous,8.65,0.71,-0.56,47%,10.04,8551.3
Plestiodon obsoletus,Plestiodon_obsoletus,Oviparous,12.65,1.50,-0.04,36%,15.54,7506.8
Plestiodon parviauriculatus,Plestiodon_parviauriculatus,Oviparous,4,0.38,-0.64,39%,21.3,5286.8
Plestiodon quadrilineatus,Plestiodon_quadrilineatus,Oviparous,2,0.91,-0.60,6%,21.71,5014.9
Plestiodon septentrionalis,Plestiodon_septentrionalis,Oviparous,10.65,0.88,-0.67,30%,11.28,9563.3
Plestiodon skiltonianus,Plestiodon_skiltonianus,Oviparous,4.9,0.85,-0.56,19%,8.25,7667.4
Plestiodon sumichrasti,Plestiodon_sumichrasti,Oviparous,11.5,0.98,-0.56,33%,24.45,1754.4
Plestiodon tetragrammus,Plestiodon_tetragrammus,Oviparous,8.5,0.47,-0.73,54%,19.79,6019.8
Plica plica,Plica_plica,Oviparous,3.0835,1.88,0.60,16%,24.22,638.5
Plica umbra,Plica_umbra,Oviparous,2.0165,1.36,0.38,21%,24.7,603.4
Podarcis bocagei,Podarcis_bocagei,Oviparous,3.4,0.54,-0.53,29%,11.51,4538.1
Podarcis cretensis,Podarcis_cretensis,Oviparous,3.5,0.64,-0.34,37%,16.8,4804.1
Podarcis erhardii,Podarcis_erhardii,Oviparous,2.53,0.73,-0.23,27%,12.91,7036.8
Podarcis filfolensis,Podarcis_filfolensis,Oviparous,2.5,0.74,-0.43,17%,18.53,4672.5
Podarcis gaigeae,Podarcis_gaigeae,Oviparous,2.47,0.74,-0.25,25%,16.3,5694.8
Podarcis hispanicus,Podarcis_hispanicus,Oviparous,2.85,0.54,-0.44,29%,12.86,5783.4
Podarcis lilfordi,Podarcis_lilfordi,Oviparous,2.5,0.69,-0.13,38%,16.15,4749.7
Podarcis liolepis,Podarcis_liolepis,Oviparous,2.8,0.67,-0.39,24%,11.73,5831.8
Podarcis melisellensis,Podarcis_melisellensis,Oviparous,4.25,0.69,-0.44,31%,12.49,6667.2
Podarcis milensis,Podarcis_milensis,Oviparous,1.73,0.60,-0.42,17%,17.6,5120.6
Podarcis muralis,Podarcis_muralis,Oviparous,4.93,0.78,-0.45,29%,10.27,6610.5
Podarcis peloponnesiacus,Podarcis_peloponnesiacus,Oviparous,3.48,0.94,-0.26,22%,15.36,6387.4
Podarcis pityusensis,Podarcis_pityusensis,Oviparous,2.65,0.65,-0.23,35%,16.6,4641.7
Podarcis siculus,Podarcis_siculus,Oviparous,5.7,0.74,-0.23,61%,13.52,6275.2
Podarcis tauricus,Podarcis_tauricus,Oviparous,4.785,0.75,-0.21,53%,11.36,7763.5
Podarcis tiliguerta,Podarcis_tiliguerta,Oviparous,9,0.72,-0.35,77%,14.62,5148.7
Podarcis vaucheri,Podarcis_vaucheri,Oviparous,3,0.50,-0.52,28%,15.51,6102.4
Podarcis waglerianus,Podarcis_waglerianus,Oviparous,4,0.58,-0.36,46%,16.05,5377.5
Pogona barbata,Pogona_barbata,Oviparous,16.75,2.14,0.15,17%,18.2,4650.2
Pogona henrylawsoni,Pogona_henrylawsoni,Oviparous,11.5,1.80,0.05,21%,24.73,4360.9
Pogona minor,Pogona_minor,Oviparous,6.5,1.64,0.24,26%,21.18,5448.2
Pogona mitchelli,Pogona_mitchelli,Oviparous,8.75,1.69,0.18,27%,26.52,4035.4
Pogona nullarbor,Pogona_nullarbor,Oviparous,14,1.91,0.07,20%,18.17,4363.9
Pogona vitticeps,Pogona_vitticeps,Oviparous,20.75,2.09,0.29,32%,20.09,5792.7
Polychrus acutirostris,Polychrus_acutirostris,Oviparous,13.25,1.67,0.07,34%,23.71,1463.4
Polychrus gutturosus,Polychrus_gutturosus,Oviparous,7,2.03,0.42,17%,23.51,454.9
Polychrus marmoratus,Polychrus_marmoratus,Oviparous,8.1,1.73,0.23,26%,24.72,697.6
Psammodromus algirus,Psammodromus_algirus,Oviparous,5.35,0.87,-0.30,36%,14.67,6149.6
Psammodromus blanci,Psammodromus_blanci,Oviparous,3,0.26,-0.64,37%,15.55,6306.8
Psammodromus hispanicus,Psammodromus_hispanicus,Oviparous,3.25,0.43,-0.64,27%,13.42,6469.2
Pseudechis australis,Pseudechis_australis,Oviparous,8.6,2.56,0.98,23%,22.22,504.9904
Pseudechis butleri,Pseudechis_butleri,Oviparous,9.5,2.43,0.99,34%,20.83,630.1842
Pseudechis colletti,Pseudechis_colletti,Oviparous,11.7,2.78,1.27,36%,22.8,481.8303
Pseudechis guttatus,Pseudechis_guttatus,Oviparous,11.8,2.55,0.86,25%,17.84,478.3749
Pseudelaphe flavirufa,Pseudelaphe_flavirufa,Oviparous,6.5,2.61,1.27,30%,24.92724,169.018
Pseudocalotes cybelidermus,Pseudocalotes_cybelidermus,Oviparous,2.5,1.10,-0.35,9%,21.6,233.5
Pseudonaja affinis,Pseudonaja_affinis,Oviparous,14.6,2.62,0.87,26%,16.74,402.4514
Pseudonaja guttata,Pseudonaja_guttata,Oviparous,5.8,2.12,0.76,26%,23.72,494.7658
Pseudonaja inframacula,Pseudonaja_inframacula,Oviparous,10,2.27,0.96,49%,16.59727,371.0474
Pseudonaja ingrami,Pseudonaja_ingrami,Oviparous,15,2.76,0.87,19%,25.8994,407.6563
Pseudonaja modesta,Pseudonaja_modesta,Oviparous,5.7,1.44,0.06,23%,22.39,547.7211
Pseudonaja nuchalis,Pseudonaja_nuchalis,Oviparous,11.7,2.35,0.77,31%,22.48,510.5086
Pseudonaja textilis,Pseudonaja_textilis,Oviparous,16,2.50,0.70,25%,19.92,460.6112
Pseudopus apodus,Pseudopus_apodus,Oviparous,8.65,2.27,0.32,10%,11.5,8154.6
Pseudotrapelus aqabensis,Pseudotrapelus_aqabensis,Oviparous,6.15,1.11,-0.19,31%,19.5,6216.3
Pseudotrapelus sinaitus,Pseudotrapelus_sinaitus,Oviparous,4.45,1.24,-0.15,19%,21.52,6020.7
Ptyas korros,Ptyas_korros,Oviparous,9,2.31,-0.53,1%,22.25503,309.1888
Rankinia diemensis,Rankinia_diemensis,Oviparous,5.4,0.95,-0.35,28%,12.82,4114.6
Rhadinaea flavilata,Rhadinaea_flavilata,Oviparous,2.5,0.75,0.19,69%,19.31,538.4428
Rhampholeon boulengeri,Rhampholeon_boulengeri,Oviparous,2,0.57,-0.30,27%,22.14,626.5
Rhampholeon marshalli,Rhampholeon_marshalli,Oviparous,14,0.95,-0.51,49%,19.28,2734.2
Rhampholeon maspictus,Rhampholeon_maspictus,Oviparous,7,0.69,-0.52,42%,21.8,2480
Rhampholeon temporalis,Rhampholeon_temporalis,Oviparous,5,0.46,-0.40,69%,23.52,1486.4
Rhinocheilus lecontei,Rhinocheilus_lecontei,Oviparous,6.5,1.57,0.38,42%,16.44,673.2918
Saara loricata,Saara_loricata,Oviparous,14,2.57,0.77,22%,21.67,9437.5
Salvadora grahamiae,Salvadora_grahamiae,Oviparous,7,1.58,0.55,65%,17.37,630.391
Salvator merianae,Salvator_merianae,Oviparous,36.5,3.16,1.08,31%,22.58,2108.8
Salvator rufescens,Salvator_rufescens,Oviparous,21.4,3.22,1.20,21%,19.42,3993.2
Saproscincus challengeri,Saproscincus_challengeri,Oviparous,3.5,0.42,-0.67,29%,18.56,3574.8
Saproscincus mustelinus,Saproscincus_mustelinus,Oviparous,5.05,0.36,-0.92,26%,13.23,4108.1
Sauromalus ater,Sauromalus_ater,Oviparous,7.75,2.29,0.81,26%,17.4,7437.5
Sauromalus hispidus,Sauromalus_hispidus,Oviparous,21.75,2.92,1.24,45%,20.32,5239.4
Sauromalus varius,Sauromalus_varius,Oviparous,20.85,3.06,1.27,34%,22,5165.2
Scelarcis perspicillata,Teira_perspicillata,Oviparous,3,0.60,-0.45,27%,15.15,6189.4
Sceloporus aeneus,Sceloporus_aeneus,Oviparous,6.66,0.66,-0.21,89%,15.5,1904.4
Sceloporus bimaculosus,Sceloporus_bimaculosus,Oviparous,6.5,1.40,0.28,50%,16.88,6681.7
Sceloporus chrysostictus,Sceloporus_chrysostictus,Oviparous,2.45,0.72,-0.27,25%,25.54,1751.1
Sceloporus clarkii,Sceloporus_clarkii,Oviparous,13.8,1.41,0.12,71%,18.26,5774.4
Sceloporus consobrinus,Sceloporus_consobrinus,Oviparous,7.45,0.92,-0.26,49%,17.33,6712.9
Sceloporus cowlesi,Sceloporus_cowlesi,Oviparous,9.1,0.95,-0.21,64%,14.36,7330.2
Sceloporus gadoviae,Sceloporus_gadoviae,Oviparous,3.75,0.74,-0.14,49%,22.25,1519.8
Sceloporus graciosus,Sceloporus_graciosus,Oviparous,5.4,0.80,-0.11,65%,8.07,8476.2
Sceloporus horridus,Sceloporus_horridus,Oviparous,11.9,1.30,0.00,60%,21.71,2448.3
Sceloporus jalapae,Sceloporus_jalapae,Oviparous,5.615,0.62,-0.21,83%,18.26,1791.2
Sceloporus magister,Sceloporus_magister,Oviparous,9.3,1.42,0.19,55%,16.15,6657.2
Sceloporus melanorhinus,Sceloporus_melanorhinus,Oviparous,7.7,1.34,0.25,62%,23.73,1478.7
Sceloporus merriami,Sceloporus_merriami,Oviparous,4.105,0.64,-0.26,52%,18.77,6116.5
Sceloporus minor,Sceloporus_minor,Oviparous,6.58,1.12,0.00,51%,18.42,3436.4
Sceloporus occidentalis,Sceloporus_occidentalis,Oviparous,10.1,1.13,-0.16,52%,9.64,7444.8
Sceloporus ochoterenae,Sceloporus_ochoterenae,Oviparous,6.25,0.58,-0.26,91%,22.31,1448.7
Sceloporus olivaceus,Sceloporus_olivaceus,Oviparous,17.9,1.39,-0.14,53%,19.78,6060.1
Sceloporus orcutti,Sceloporus_orcutti,Oviparous,10.1,1.39,0.19,64%,18.9,5065.3
Sceloporus parvus,Sceloporus_parvus,Oviparous,3.4,0.56,-0.37,40%,19.07,4053.3
Sceloporus pyrocephalus,Sceloporus_pyrocephalus,Oviparous,5.23,0.77,-0.07,76%,24.22,1280.7
Sceloporus slevini,Sceloporus_slevini,Oviparous,8.5,0.66,-0.37,79%,15.6,5337.6
Sceloporus spinosus,Sceloporus_spinosus,Oviparous,13.85,1.27,-0.04,68%,17.79,2673.1
Sceloporus squamosus,Sceloporus_squamosus,Oviparous,4.5,0.65,-0.56,28%,23.98,799
Sceloporus tristichus,Sceloporus_tristichus,Oviparous,7.2,0.98,-0.16,52%,10.84,7963.1
Sceloporus undulatus,Sceloporus_undulatus,Oviparous,9.13,0.95,-0.14,74%,13.87,7675.7
Sceloporus uniformis,Sceloporus_uniformis,Oviparous,6.6,1.37,0.06,32%,12.33,8209.8
Sceloporus utiformis,Sceloporus_utiformis,Oviparous,7.02,0.94,0.04,89%,22.64,1776.3
Sceloporus variabilis,Sceloporus_variabilis,Oviparous,3.85,0.79,-0.10,50%,22.06,3042.5
Sceloporus virgatus,Sceloporus_virgatus,Oviparous,9.825,0.80,-0.29,80%,15.38,5503.5
Sceloporus woodi,Sceloporus_woodi,Oviparous,4.805,0.80,-0.32,37%,22.17,3914.1
Sceloporus zosteromus,Sceloporus_zosteromus,Oviparous,6,1.05,0.06,61%,19.74,4573.5
Scincella cherriei,Scincella_cherriei,Oviparous,2.5,0.44,-0.89,12%,24.27,1321.9
Scincella lateralis,Scincella_lateralis,Oviparous,3.075,0.22,-0.96,20%,16.18,7350.2
Scincella melanosticta,Scincella_melanosticta,Oviparous,3,0.32,-0.73,27%,25.62,1368.9
Scincella modesta,Scincella_modesta,Oviparous,7.55,0.41,-1.08,24%,17.48,7360.1
Scincella silvicola,Scincella_silvicola,Oviparous,5,0.57,-0.92,16%,20.49,3332
Scincella vandenburghi,Scincella_vandenburghi,Oviparous,7,0.24,-1.00,40%,11.16,9015.4
Scincus scincus,Scincus_scincus,Oviparous,5,1.25,-0.04,25%,24.14,6285.7
Sibon annulatus,Sibon_annulatus,Oviparous,4,0.89,0.21,84%,24.76,48.24078
Sibon nebulatus,Sibon_nebulatus,Oviparous,6,1.49,0.60,77%,24.40918,76.17356
Sibon sanniolus,Sibon_sanniolus,Oviparous,3.1,0.54,-0.02,85%,25.53455,172.5694
Sigaloseps ruficauda,Sigaloseps_ruficauda,Oviparous,3,0.42,-0.56,32%,20.72,2028.3
Simalia amethistina,Simalia_amethistina,Oviparous,11.5,3.72,2.51,70%,24.29,70.18935
Simoselaps anomalus,Simoselaps_anomalus,Oviparous,2.5,0.49,-0.20,51%,23.79,560.3025
Simoselaps bertholdi,Simoselaps_bertholdi,Oviparous,3.5,0.65,-0.32,37%,19.9,543.9773
Simoselaps bimaculatus,Simoselaps_bimaculatus,Oviparous,4.2,1.21,0.37,60%,18.87,517.4181
Simoselaps littoralis,Simoselaps_littoralis,Oviparous,3.5,0.82,-0.37,23%,21.87,404.4914
Siphlophis cervinus,Siphlophis_cervinus,Oviparous,4.9,2.02,0.82,31%,24.66374,64.65074
Siphlophis compressus,Siphlophis_compressus,Oviparous,6.2,2.23,0.86,27%,24.45292,68.78855
Sitana fusca,Sitana_fusca,Oviparous,7.2,0.39,-1.03,27%,23.3,4871
Sitana ponticeriana,Sitana_ponticeriana,Oviparous,14.295,0.64,-1.04,30%,26.92,1767.3
Sitana sivalensis,Sitana_sivalensis,Oviparous,6.86,0.43,-1.13,19%,21.7,5727.8
Sonora semiannulata,Sonora_semiannulata,Oviparous,3.6,0.57,-0.50,30%,16.49,716.9037
Spalerosophis diadema,Spalerosophis_diadema,Oviparous,8,2.29,0.99,41%,21.87,682.0629
Sphenomorphus brunneus,Sphenomorphus_brunneus,Oviparous,5.1,0.98,-0.61,13%,21.25,395.2
Sphenomorphus cranei,Sphenomorphus_cranei,Oviparous,2.525,0.71,-0.40,19%,25.79,366.5
Sphenomorphus cyanolaemus,Sphenomorphus_cyanolaemus,Oviparous,2.15,0.42,-0.58,21%,24.43,395.7
Sphenomorphus dussumieri,Sphenomorphus_dussumieri,Oviparous,3.5,0.51,-0.79,18%,25.6,1059.3
Sphenomorphus fasciatus,Sphenomorphus_fasciatus,Oviparous,5.35,1.28,-0.51,9%,25.43,488.7
Sphenomorphus incognitus,Sphenomorphus_incognitus,Oviparous,4.6,1.11,-0.34,16%,18.5,5620.5
Sphenomorphus maculatus,Sphenomorphus_maculatus,Oviparous,3.85,0.53,-0.36,51%,19.96,3146.5
Sphenomorphus maindroni,Sphenomorphus_maindroni,Oviparous,2,0.64,-0.40,18%,25.56,352.5
Sphenomorphus multisquamatus,Sphenomorphus_multisquamatus,Oviparous,3,0.60,-0.61,18%,25.27,443
Sphenomorphus necopinatus,Sphenomorphus_necopinatus,Oviparous,2.5,0.02,-1.15,17%,21.08,298.5
Sphenomorphus nigrolineatus,Sphenomorphus_nigrolineatus,Oviparous,3.8,0.72,-0.86,10%,21.39,588.9
Sphenomorphus solomonis,Sphenomorphus_solomonis,Oviparous,2.75,0.56,-0.79,12%,25.14,329.4
Sphenomorphus taiwanensis,Sphenomorphus_taiwanensis,Oviparous,5.22,0.44,-0.62,45%,16.95,3877.5
Sphenomorphus tanneri,Sphenomorphus_tanneri,Oviparous,2,0.21,-0.73,23%,25.62,343.9
Spilotes pullatus,Spilotes_pullatus,Oviparous,16,2.61,1.24,68%,23.86,109.4619
Stegonotus cucullatus,Stegonotus_cucullatus,Oviparous,11.7,2.18,0.74,42%,24.83,162.4426
Stellagama stellio,Stellagama_stellio,Oviparous,8.95,1.60,-0.06,20%,16.1,7151.7
Stenocercus chrysopygus,Stenocercus_chrysopygus,Oviparous,5.5,1.03,-0.04,47%,7.16,517.2
Stenocercus empetrus,Stenocercus_empetrus,Oviparous,6,1.34,0.21,44%,12.35,319.5
Stenocercus humeralis,Stenocercus_humeralis,Oviparous,4,1.54,0.50,36%,17.16,437.9
Stenocercus imitator,Stenocercus_imitator,Oviparous,4.5,1.27,0.13,33%,17.36,354.6
Stenocercus melanopygus,Stenocercus_melanopygus,Oviparous,6,0.96,0.09,81%,11.76,308
Stenorrhina degenhardtii,Stenorrhina_degenhardtii,Oviparous,15,1.55,0.00,43%,23.31187,67.76806
Stenorrhina freminvillei,Stenorrhina_freminvillei,Oviparous,11.6,1.74,-0.02,20%,24.48829,125.8456
Takydromus amurensis,Takydromus_amurensis,Oviparous,5,0.51,-0.39,62%,3.65,13074.6
Takydromus dorsalis,Takydromus_dorsalis,Oviparous,1.4,0.81,-0.34,10%,23.26,3532.7
Takydromus formosanus,Takydromus_formosanus,Oviparous,2,0.43,-0.80,12%,20.81,4101
Takydromus hsuehshanensis,Takydromus_hsuehshanensis,Oviparous,2.78,0.72,-0.42,20%,14.91,4284.9
Takydromus kuehnei,Takydromus_kuehnei,Oviparous,1.8,0.60,-0.50,14%,19.17,5637.3
Takydromus septentrionalis,Takydromus_septentrionalis,Oviparous,3.3,0.72,-0.44,23%,13.88,8150.4
Takydromus sexlineatus,Takydromus_sexlineatus,Oviparous,2.2,0.61,-0.77,9%,22.7,2460.9
Takydromus tachydromoides,Takydromus_tachydromoides,Oviparous,4,0.49,-0.42,49%,10.88,7977.8
Takydromus wolteri,Takydromus_wolteri,Oviparous,3.75,0.47,-0.59,33%,7.93,10889.7
Tantilla gracilis,Tantilla_gracilis,Oviparous,2.5,0.17,-0.58,44%,17.73845,763.5272
Tantilla nigriceps,Tantilla_nigriceps,Oviparous,2,0.68,-0.72,8%,16.685,769.9347
